<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
MM;D;20171101;000000;114.26232876712268;1
MM;D;20171102;000000;114.28493150684871;1
MM;D;20171103;000000;114.30753424657473;1
MM;D;20171107;000000;114.39794520547885;1
MM;D;20171108;000000;114.42054794520487;1
MM;D;20171109;000000;114.4431506849309;1
MM;D;20171110;000000;114.46575342465692;1
MM;D;20171113;000000;114.533561643835;1
MM;D;20171114;000000;114.55616438356103;1
MM;D;20171115;000000;114.57876712328705;1
MM;D;20171116;000000;114.60136986301308;1
MM;D;20171117;000000;114.6239726027391;1
MM;D;20171120;000000;114.69178082191718;1
MM;D;20171121;000000;114.7143835616432;1
MM;D;20171122;000000;114.73698630136923;1
MM;D;20171123;000000;114.75958904109525;1
MM;D;20171124;000000;114.78219178082128;1
MM;D;20171127;000000;114.84999999999935;1
MM;D;20171128;000000;114.87260273972538;1
MM;D;20171129;000000;114.8952054794514;1
MM;D;20171130;000000;114.91780821917743;1
MM;D;20171201;000000;114.94041095890346;1
MM;D;20171204;000000;115.00821917808153;1
MM;D;20171205;000000;115.03082191780756;1
MM;D;20171206;000000;115.05342465753358;1
MM;D;20171207;000000;115.07602739725961;1
MM;D;20171208;000000;115.09863013698563;1
MM;D;20171211;000000;115.16643835616371;1
MM;D;20171212;000000;115.18904109588973;1
MM;D;20171213;000000;115.21164383561576;1
MM;D;20171214;000000;115.23424657534179;1
MM;D;20171215;000000;115.25684931506781;1
MM;D;20171218;000000;115.3205479452048;1
MM;D;20171219;000000;115.34178082191713;1
MM;D;20171220;000000;115.36301369862946;1
MM;D;20171221;000000;115.38424657534179;1
MM;D;20171222;000000;115.40547945205412;1
MM;D;20171226;000000;115.49041095890344;1
MM;D;20171227;000000;115.51164383561577;1
MM;D;20171228;000000;115.5328767123281;1
MM;D;20171229;000000;115.55410958904044;1
MM;D;20180103;000000;115.66027397260208;1
MM;D;20180104;000000;115.68150684931442;1
MM;D;20180105;000000;115.70273972602675;1
MM;D;20180109;000000;115.78767123287606;1
MM;D;20180110;000000;115.8089041095884;1
MM;D;20180111;000000;115.83013698630073;1
MM;D;20180112;000000;115.85136986301306;1
MM;D;20180115;000000;115.91506849315005;1
MM;D;20180116;000000;115.93630136986238;1
MM;D;20180117;000000;115.95753424657471;1
MM;D;20180118;000000;115.97876712328704;1
MM;D;20180119;000000;115.99999999999937;1
MM;D;20180122;000000;116.06369863013636;1
MM;D;20180123;000000;116.08493150684869;1
MM;D;20180124;000000;116.10616438356102;1
MM;D;20180125;000000;116.12739726027336;1
MM;D;20180126;000000;116.14863013698569;1
